,resolution_number,date,size,issue,legislation,outcome,text,contract,acuerdo_marco
84,0341/2018,2018-04-06,88.35,Pliegos,TRLCSP,Inadmision," Inadmision.  Se inadmiteporaplicacion del efecto directo de la Directiva 2014/24/UE, al tratarse de un contrato de servicios sociales incluido en el Anexo XIV de la nueva Directiva, cuyo valor estimado no alcanza los 750. 000 euros exigidos en el articulo 4. d) de dicha Directiva para ser contrato sujeto a regulacion armonizada. ",Servicios,False
85,0342/2018,2018-04-06,67.26,Pliegos,TRLCSP,Inadmision," Inadmision.  Se inadmiteporaplicacion del efecto directo de la Directiva 2014/24/UE, al tratarse de un contrato de servicios sociales incluido en el Anexo XIV de la nueva Directiva, cuyo valor estimado no alcanza los 750. 000 euros exigidos en el articulo 4. d) de dicha Directiva para ser contrato sujeto a regulacion armonizada.  La licitacion impugnada ha quedado desierta por lo que el recurso tambien se inadmitiria por falta de objeto. ",Servicios,False
86,0343/2018,2018-04-06,67.07,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Falta de legitimacion (licitador excluido).  La recurrente habia sido excluida, y el recurso interpuesto en su momento (no 167/2018) fue inadmitido por extemporaneo, por lo que se entiende confirmada la exclusion. ",Suministro,True
87,0344/2018,2018-04-06,59.29,Pliegos,TRLCSP,Inadmision," Inadmision.  Valor estimado < 221. 000="""" €,="""" no="""" sujeto="""" a="""" regulacion="""" armonizada. ="""">",Servicios,False
88,0345/2018,2018-04-06,59.94,Adjudicacion,TRLCSP,NaN," Valor estimado < 221. 000="""" €,="""" no="""" sujeto="""" a="""" regulacion="""" armonizada. ="""">",Servicios,False
89,0346/2018,2018-04-06,68.62,NaN,TRLCSP,Inadmision," Inadmision.  Se inadmiteporaplicacion del efecto directo de la Directiva 2014/24/UE, al tratarse de un contrato de servicios de seguridad y salvamento incluido en el Anexo XIV de la nueva Directiva, cuyo valor estimado no alcanza los 750. 000 euros exigidos en el articulo 4. d) de dicha Directiva para estar sujeto a regulacion armonizada. ",Servicios,False
90,0327/2018,2018-04-06,86.47,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  PCAP como ley del contrato.  Valoracion conforme la documentacion proporcionada por el licitador. ,Servicios,False
91,0350/2018,2018-04-06,158.15,NaN,TRLCSP,Desestimacion," Desestimacion. Asignacion al precio de una parte de la prestacion muy importante un numero de puntos no acorde con su importancia cuantitativa.  Causas de nulidad las recogidas en los art.  32 ss : no concurrencia en el caso planteado.  Adicionalmente, es la oferta de las demas licitadoras, y no la distribucion de puntos PPT la que puede motivar que no sea adjudicataria la licitadora que haya ofertado un menor precio. ",Servicios,False
92,0347/2018,2018-04-06,298.73,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  El precio de cero euros ofertado no constituye oferta anormalmente baja siempre que la valoracion de las ofertas se haga sobre el precio global y no sobre cada uno de los conceptos que conforman la oferta. ,Servicios,False
93,0305/2018,2018-04-04,299.18,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Incongruencia entre oferta no evaluable mediante formulas y Plan Economico Financiero.  Equipo ofertado no cumple requisitos fijados en el PPT. . ,Servicios,False
94,0309/2018,2018-04-04,239.23,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Legitimacion activa de la recurrente, en tanto que se discute en el recurso el informe tecnico en virtud del cual resulto excluido, que no ha sido objeto de recurso independiente.  Legalidad de que la valoracion tecnica se encomiende por la Mesa a unos tecnicos designados por la Diputacion Provincial.  Discrecionalidad tecnica de la Administracion.  Motivacion suficiente. ",Servicios,False
95,0304/2018,2018-04-03,104.48,Pliegos,TRLCSP,Inadmision, Inadmision.  Perdida sobrevenida del objeto al haberse estimado parcialmente otro recurso sustancialmente igual respecto de los mismos pliegos,Suministro,False
96,0316/2018,2018-04-03,200.06,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Se impugna PCAP porque no establece clasificacion alternativa para acreditar la solvencia tecnica, ni concreta requisitos de los medios de acreditacion de la solvencia tecnica que establece, y considera no aplicable supletoriamente el articulo 11 del RGLCAP.  Impugna tambien el calculo del valor estimado, la falta de mencion dela existencia de credito adecuado y suficiente, los criterios de adjudicacion,el modelo de proposicion economica y la memoria economica del contrato. ",Servicios,False
97,0306/2018,2018-04-03,241.73,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Exclusion basada en el incumplimiento del compromiso de adscripcion de un centro asistencial sito en una determinada localidad.  Proporcionalidad de la medida, basada en las necesidades que el contrato pretende satisfacer. ",Servicios,False
98,0307/2018,2018-04-03,187.21,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Compromiso de adscripcion de medios.  Incumplimiento. ,Servicios,False
99,0308/2018,2018-04-03,222.46,Exclusion,TRLCSP,Inadmision," Inadmision.  Contrato de servicios de vigilancia de seguridad incluido en Anexo XIV de la Directiva 2014/24/UE, valor estimado no alcanza los 750. 000 euros que el articulo 4. d) de dicha Directiva establece para poder considerarlo sujeto a regulacion armonizada, contrato no susceptible de recurso especial en materia de contratacion. ",Servicios,False
100,0318/2018,2018-04-03,198.92,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Supuesta aplicacion excesivamente rigurosa del pliego y modificacion realizada por organo incompetente y prescindiendo del procedimiento.  Competencia correcta, el acto emana del organo delegante ex articulo 9. 4.  de la Ley 40/2015 que reproduce el articulo 13. 4.  de la Ley 30/1992.  Los vicios alegados sobre tales modificaciones no lo son de nulidad de pleno derecho, sino en su caso, de anulabilidad.  la empresa recurrente incumple el pliego o si se prefiere, formula oferta generando dudas u oscuridad que no deben ser objeto de subsanacion porque alterarian los terminos de la misma. ",Servicios,False
101,0320/2018,2018-04-03,188.49,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Impugnacion de acuerdo de adjudicacion por entender que se ha excluido tacitamente la oferta economico mas ventajosa al estar incursa en presuncion de baja temeraria.  La exclusion tiene su fundamento en el informe tecnico adjunto a la propuesta de adjudicacion, obra en el expediente, y sirve de motivacion por remision al acto impugnado. ",Servicios,False
102,0310/2018,2018-04-03,302.81,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Informe tecnico de valoracion ajustado a derecho. ,Servicios,False
103,0311/2018,2018-04-03,181.89,Adjudicacion,TRLCSP,Estimacion, Estimacion.  Incorrecta valoracion oferta tecnica.  Informe organo de contratacion favorable a la retroaccion de las actuaciones.  Estimacion: retroaccion actuaciones al objeto de llevar a cabo una nueva valoracion de las ofertas tecnicas. ,Suministro,False
104,0312/2018,2018-04-03,205.29,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Exclusion de licitador por no aportar documentacion, relativa a la oferta, exigida en el PPT.  defecto no subsanable la omision de documentos que son necesarios para establecer un standard minimo de calidad de las ofertas de los licitadores. ",Servicios,False
105,0321/2018,2018-04-03,241.97,Adjudicacion,TRLCSP,Estimacion Parcial, Estimacion parcial.  Se reproducen los argumentos de la Resolucion 159/2018 (recursos 54 y 60 de 2018). ,Servicios,False
106,0317/2018,2018-04-03,194.77,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Incumplimiento expreso y claro del PPT. ,Suministro,False
107,0313/2018,2018-04-03,154.0,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Falta de subsanacion de documentacion acreditativa de la solvencia.  Extravio de la documentacion por la empresa de mensajeria. ,Suministro,False
108,0314/2018,2018-04-03,225.62,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Impugnacion de la adjudicacion a segundo licitador por exclusion del recurrente de su oferta por no resultar viable en contrato de servicios.  Doctrina del Tribunal sobre la justificacion en bajas temerarias: motivacion del licitador y del organo de contratacion. ,Servicios,False
109,0319/2018,2018-04-03,197.35,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Los pliegos no exigen para la prestacion del servicio que los vehiculos tengan instalado un taximetro, por lo que no se aprecia causa alguna de exclusion de la empresa que ha resultado adjudicataria ni motivos para anular la resolucion de adjudicacion, siendo extemporaneo un debate sobre el contenido de unos pliegos no impugnados en tiempo y forma. ",Servicios,False
110,0315/2018,2018-04-03,252.87,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Discrecionalidad tecnica.  No hay error en la valoracion de criterios subjetivos. ,Suministro,False
111,0268/2018,2018-03-23,181.01,Adjudicacion,TRLCSP,Estimacion Parcial," Estimacion parcial.  Legitimacion del recurrente aun ocupando su proposicion en la clasificacion, la tercera posicion pues la impugnacion se basa en la exclusion del segundo clasificado y en el error de su propia puntuacion permitiendo el recurso poder acceder a la adjudicacion.  Estimacion de las pretensiones de ambos recursos en cuanto a la adjudicataria: la oferta presentada por correo por el adjudicatario no cumple con los requisitos del articulo 80 del Reglamento General de la Ley de Contratos: la fecha de imposicion de correos se produce mas tarde de la hora prevista en los anuncios de licitacion.  Falta de prueba de la fecha de remision del telegrama enviado, informando sobre la presentacion.  Desestimacion del recurso contra el segundo clasificado.  Compromiso de adscripcion de medios: los medios concretos solo son exigibles al licitador propuesto como adjudicatario.  Criterios sujetos a juicios de valor: no se aprecia error material ni arbitrariedad en la puntuacion obtenida.  Discrecionalidad tecnica. ",Servicios,False
112,0270/2018,2018-03-23,144.05,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Impugnacion de exclusion acordada en el mismo acto que la adjudicacion.  Presentacion del escrito de interposicion en soporte papel pese a tratarse de persona juridica: al no haberse concedido por el organo de contratacion el tramite de subsanacion previsto en el articulo 68. 4 LPAC, debe admitirse el recurso.  Fondo del asunto: interpretacion del pliego, apreciaciones tecnicas del organo de contratacion basadas en informes que no son desvirtuados por la recurrente. ",Suministro,False
113,0271/2018,2018-03-23,123.07,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Definicion del objeto del contrato.  Calculo del presupuesto de licitacion. ,Servicios,False
114,0272/2018,2018-03-23,96.87,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Necesidad de adecuacion de las ofertas al contenido del pliego de prescripciones tecnicas.  Exclusion de la oferta derivada de la inadecuacion de la oferta a los requerimientos contenidos en el pliego de prescripciones tecnicas. ,Suministro,True
115,0301/2018,2018-03-23,76.77,Licitacion,TRLCSP,Inadmision," Inadmision.  El objeto del recurso es la celebracion de un acto publico de la mesa de contratacion.  No es recurrible la denegacion de solicitud de ampliacion de plazo para la presentacion de ofertas.  Falta de legitimacion del recurrente, que no participa en el procedimiento. ",Servicios,False
116,0273/2018,2018-03-23,219.23,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  La acumulacion esta resulta en el antecede octavo en el que se explican los particulares que concurren en este caso.  Si bien el segundo de los recursos se interpone formalmente fuera de plazo de 15 dias habiles desde la notificacion del acuerdo de 23 de enero, lo cierto es que concurren circunstancias excepcionales para admitirlo y entrar sobre el fondo de lo que plantea, tal como se motiva en el ciado antecedente octavo.  El recurso denuncia: a)la indebida denegacion de acceso al expediente b) la defectuosa declaracion de confidencialidad respecto de dos licitadores, c) el incumplimiento de una prescripcion tecnica en la oferta del adjudicatario (que ya fue desestimada en el recurso 80-2018 interpuesto tambien en esta licitacion)d) la falta de justificacion de la baja de dos de las ofertas y e) error en la valoracion de algunos de los criterios de adjudicacion vulnerando el principio de igualdad.  Al margen de lo anterior, el recurso plantea una cuestion singular como es la impugnacionconjunta de un acto de tramite (declaracion de confidencialidad) que ha sido dictado despues del acto definitivo (adjudicacion). ",Servicios,False
117,0274/2018,2018-03-23,90.52,Exclusion,LCSE,Desestimacion, Desestimacion.  Los pliegosno fueron impugnados en su momento y ademas no ofrecen dudas en su interpretacion.  Se ajusta la solvencia tecnica a lo previsto en el articulo 40 . ,Servicios,False
118,0275/2018,2018-03-23,176.15,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Indeterminacion de mejoras criterios de adjudicacion objetivos integrados como criterios de adjudicacion dependientes de juicios de valor.  Presupuesto de licitacion no ajustado al precio de mercado. ,Servicios,False
